circuitId,circuitRef,name,location,country,url
,buddh,Buddh International Circuit,Uttar Pradesh,India,http://en.wikipedia.org/wiki/Buddh_International_Circuit
,americas,Circuit of the Americas,Austin,USA,http://en.wikipedia.org/wiki/Circuit_of_the_Americas
,red_bull_ring,Red Bull Ring,Spielberg,Austria,http://en.wikipedia.org/wiki/Red_Bull_Ring
,sochi,Sochi Autodrom,Sochi,Russia,http://en.wikipedia.org/wiki/Sochi_Autodrom
,baku,Baku City Circuit,Baku,Azerbaijan,http://en.wikipedia.org/wiki/Baku_City_Circuit
,portimao,Autódromo Internacional do Algarve,Portimão,Portugal,http://en.wikipedia.org/wiki/Algarve_International_Circuit
,mugello,Autodromo Internazionale del Mugello,Mugello,Italy,http://en.wikipedia.org/wiki/Mugello_Circuit
,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,http://en.wikipedia.org/wiki/Jeddah_Street_Circuit
,losail,Losail International Circuit,Al Daayen,Qatar,http://en.wikipedia.org/wiki/Losail_International_Circuit
,miami,Miami International Autodrome,Miami,USA,http://en.wikipedia.org/wiki/Miami_International_Autodrome
