raceId,year_race,round_race,circuitId,name_race,time_race,date_race
1,2009,1,1,Australian Grand Prix,6:00:00,3/29/2009
2,2009,2,2,Malaysian Grand Prix,9:00:00,4/5/2009
3,2009,3,17,Chinese Grand Prix,7:00:00,4/19/2009
4,2009,4,3,Bahrain Grand Prix,12:00:00,4/26/2009
5,2009,5,4,Spanish Grand Prix,12:00:00,5/10/2009
6,2009,6,6,Monaco Grand Prix,12:00:00,5/24/2009
7,2009,7,5,Turkish Grand Prix,12:00:00,6/7/2009
8,2009,8,9,British Grand Prix,12:00:00,6/21/2009
9,2009,9,20,German Grand Prix,12:00:00,7/12/2009
10,2009,10,11,Hungarian Grand Prix,12:00:00,7/26/2009
11,2009,11,12,European Grand Prix,12:00:00,8/23/2009
12,2009,12,13,Belgian Grand Prix,12:00:00,8/30/2009
13,2009,13,14,Italian Grand Prix,12:00:00,9/13/2009
14,2009,14,15,Singapore Grand Prix,12:00:00,9/27/2009
15,2009,15,22,Japanese Grand Prix,5:00:00,10/4/2009
16,2009,16,18,Brazilian Grand Prix,16:00:00,10/18/2009
17,2009,17,24,Abu Dhabi Grand Prix,11:00:00,11/1/2009
18,2008,1,1,Australian Grand Prix,4:30:00,3/16/2008
19,2008,2,2,Malaysian Grand Prix,7:00:00,3/23/2008
20,2008,3,3,Bahrain Grand Prix,11:30:00,4/6/2008
21,2008,4,4,Spanish Grand Prix,12:00:00,4/27/2008
22,2008,5,5,Turkish Grand Prix,12:00:00,5/11/2008
23,2008,6,6,Monaco Grand Prix,12:00:00,5/25/2008
24,2008,7,7,Canadian Grand Prix,17:00:00,6/8/2008
25,2008,8,8,French Grand Prix,12:00:00,6/22/2008
26,2008,9,9,British Grand Prix,12:00:00,7/6/2008
27,2008,10,10,German Grand Prix,12:00:00,7/20/2008
28,2008,11,11,Hungarian Grand Prix,12:00:00,8/3/2008
29,2008,12,12,European Grand Prix,12:00:00,8/24/2008
30,2008,13,13,Belgian Grand Prix,12:00:00,9/7/2008
31,2008,14,14,Italian Grand Prix,12:00:00,9/14/2008
32,2008,15,15,Singapore Grand Prix,12:00:00,9/28/2008
33,2008,16,16,Japanese Grand Prix,4:30:00,10/12/2008
34,2008,17,17,Chinese Grand Prix,7:00:00,10/19/2008
